For data 9, values of:	31.03	-26.07	9.53	-71.54	22.25	0.00	31.56	
For data 8, values of:	36.38	-28.41	8.57	-76.14	19.57	0.00	32.19	
For data 7, values of:	40.49	-27.68	7.98	-75.14	25.96	0.00	28.36	
For data 6, values of:	34.35	-26.70	8.89	-72.85	29.56	0.00	32.11	
For data 5, values of:	35.06	-27.00	8.95	-76.10	25.74	0.01	36.47	
For data 4, values of:	33.17	-34.28	8.62	-74.40	23.09	0.02	32.83	
For data 3, values of:	33.78	-34.33	8.59	-70.57	23.43	0.04	27.64	
For data 2, values of:	29.13	-35.00	8.14	-65.49	22.10	0.08	31.79	
For data 1, values of:	14.17	-20.58	6.09	-49.04	18.86	0.18	36.09	
For data 0, values of:	-0.00	-0.00	0.50	-20.51	13.51	0.36	25.17	
